ID,Gender,Marital_Status,Age,Education,Income,Occupation,Settlement_Size
100000421,Female,Not-Single,20,High School,154134,Skilled,Big City
100000422,Male,Single,30,Unknown/Other,112401,Skilled,mid-Sized City
100000423,Male,Single,47,High School,85690,unemployed/unskilled,Small City
100000424,Male,Single,34,High School,145896,Management/officer/self-employed,Big City
100000425,Female,Not-Single,25,High School,122552,Skilled,Big City
100000426,Male,Not-Single,21,High School,115494,Skilled,Big City
100000427,Male,Single,29,Unknown/Other,109467,Skilled,Small City
100000428,Male,Single,46,High School,148226,Skilled,Big City
100000429,Male,Single,20,Unknown/Other,88559,Skilled,mid-Sized City
100000430,Female,Not-Single,55,Graduate,62393,unemployed/unskilled,Small City
100000431,Male,Single,74,Graduate,122133,unemployed/unskilled,Small City
100000432,Male,Single,29,Unknown/Other,230883,Management/officer/self-employed,Big City
100000433,Male,Single,36,High School,136689,Management/officer/self-employed,Big City
100000434,Male,Not-Single,33,High School,109145,Skilled,Small City
100000435,Male,Single,25,Unknown/Other,100449,Skilled,Big City
100000436,Male,Not-Single,25,High School,106253,Skilled,Small City
100000437,Male,Not-Single,23,High School,84747,unemployed/unskilled,Small City
100000438,Female,Not-Single,37,High School,149465,Skilled,mid-Sized City
100000439,Male,Single,65,Graduate,84435,unemployed/unskilled,Small City
100000440,Female,Not-Single,26,High School,51681,unemployed/unskilled,Small City
100000441,Male,Single,39,High School,139198,Management/officer/self-employed,mid-Sized City
100000442,Female,Not-Single,30,High School,106577,Skilled,mid-Sized City
100000443,Male,Single,29,Unknown/Other,117372,Skilled,Big City
100000444,Male,Single,41,High School,69609,unemployed/unskilled,Small City
100000445,Female,Not-Single,30,High School,178947,Management/officer/self-employed,Big City
100000446,Female,Not-Single,41,Graduate,81743,unemployed/unskilled,Small City
100000447,Female,Not-Single,34,High School,111900,Skilled,mid-Sized City
100000448,Male,Single,35,High School,121650,Skilled,Small City
100000449,Female,Not-Single,55,Graduate,172639,Management/officer/self-employed,Big City
100000450,Male,Not-Single,61,Graduate,175740,Skilled,mid-Sized City
100000451,Male,Single,30,Unknown/Other,220050,Management/officer/self-employed,Big City
100000452,Female,Not-Single,29,High School,95200,Skilled,mid-Sized City
100000453,Male,Single,34,High School,113609,Skilled,mid-Sized City
100000454,Male,Single,35,High School,143552,Management/officer/self-employed,Big City
100000455,Male,Single,31,Unknown/Other,130973,Skilled,Big City
100000456,Female,Not-Single,29,High School,145946,Management/officer/self-employed,Big City
100000457,Male,Single,36,High School,126206,Skilled,mid-Sized City
100000458,Male,Single,35,High School,120426,Skilled,Small City
100000459,Female,Not-Single,27,High School,91925,Skilled,Big City
100000460,Male,Single,32,Unknown/Other,129630,Skilled,Big City
100000461,Male,Single,37,High School,124268,Skilled,Big City
100000462,Male,Single,36,High School,105240,Skilled,mid-Sized City
100000463,Female,Not-Single,34,High School,162180,Management/officer/self-employed,Small City
100000464,Male,Single,38,High School,106552,Skilled,Big City
100000465,Male,Single,34,High School,105843,Skilled,Big City
100000466,Male,Single,63,Graduate,138327,Skilled,mid-Sized City
100000467,Female,Not-Single,29,High School,76154,unemployed/unskilled,Small City
100000468,Male,Single,32,Unknown/Other,155012,Skilled,mid-Sized City
100000469,Female,Not-Single,26,High School,114369,Skilled,mid-Sized City
100000470,Male,Single,35,High School,102839,unemployed/unskilled,Small City
100000471,Male,Not-Single,22,High School,132796,Skilled,Small City
100000472,Female,Not-Single,23,High School,89742,Skilled,Big City
100000473,Male,Single,28,Unknown/Other,58615,unemployed/unskilled,Small City
100000474,Male,Single,36,High School,130603,Management/officer/self-employed,Big City
100000475,Male,Not-Single,33,High School,110340,Skilled,Small City
100000476,Female,Not-Single,26,High School,117729,Skilled,Big City
100000477,Male,Single,24,Unknown/Other,130808,Skilled,Small City
100000478,Male,Single,25,Unknown/Other,147402,Skilled,Big City
100000479,Male,Single,39,High School,93567,unemployed/unskilled,Small City
100000480,Male,Single,44,High School,109289,Skilled,mid-Sized City
100000481,Female,Not-Single,23,High School,98742,unemployed/unskilled,Small City
100000482,Male,Single,26,Unknown/Other,101270,Skilled,Small City
100000483,Female,Not-Single,57,Graduate,187835,Skilled,mid-Sized City
100000484,Female,Not-Single,30,High School,140741,Skilled,Small City
100000485,Male,Single,44,High School,133265,Skilled,Big City
100000486,Male,Single,47,High School,148100,Management/officer/self-employed,Big City
100000487,Male,Single,52,High School,131021,Skilled,Big City
100000488,Female,Not-Single,62,Graduate,152620,Skilled,Big City
100000489,Male,Single,35,High School,85033,unemployed/unskilled,Small City
100000490,Male,Single,26,Unknown/Other,114514,Skilled,mid-Sized City
100000491,Male,Single,26,Unknown/Other,99307,Skilled,mid-Sized City
100000492,Female,Not-Single,42,Graduate,219451,Management/officer/self-employed,Big City
100000493,Female,Not-Single,27,High School,114007,Skilled,Small City
100000494,Male,Single,38,High School,102846,Skilled,Small City
100000495,Male,Single,39,High School,81483,unemployed/unskilled,Small City
100000496,Male,Not-Single,20,High School,107779,Skilled,Big City
100000497,Male,Single,29,Unknown/Other,222360,Management/officer/self-employed,Big City
100000498,Male,Single,40,High School,107125,Skilled,Small City
100000499,Male,Not-Single,32,High School,80080,unemployed/unskilled,Small City
100000500,Male,Not-Single,28,High School,129600,Skilled,Small City
100000501,Female,Not-Single,27,High School,118613,Skilled,mid-Sized City
100000502,Male,Single,42,High School,146237,Skilled,mid-Sized City
100000503,Male,Not-Single,49,Graduate,144461,Skilled,Big City
100000504,Male,Single,38,High School,124487,Skilled,Small City
100000505,Female,Not-Single,24,High School,97826,Skilled,Small City
100000506,Male,Single,27,Unknown/Other,64105,unemployed/unskilled,Small City
100000507,Male,Single,36,High School,156374,Skilled,Big City
100000508,Male,Single,34,High School,205383,Management/officer/self-employed,Big City
100000509,Male,Not-Single,28,High School,98964,Skilled,Big City
100000510,Male,Single,45,High School,221842,Management/officer/self-employed,Big City
100000511,Male,Single,26,Unknown/Other,88027,Skilled,Big City
100000512,Male,Single,32,Unknown/Other,160513,Management/officer/self-employed,Big City
100000513,Male,Single,26,Unknown/Other,124536,Skilled,Big City
100000514,Male,Not-Single,20,High School,93634,Skilled,Small City
100000515,Male,Single,54,High School,124725,Skilled,Small City
100000516,Female,Not-Single,37,High School,102456,Skilled,Small City
100000517,Male,Single,40,High School,74975,unemployed/unskilled,Small City
100000518,Female,Not-Single,23,High School,153861,Skilled,mid-Sized City
100000519,Male,Single,43,High School,119351,Skilled,Big City
100000520,Male,Single,36,High School,95438,Skilled,Big City
100000521,Male,Single,44,High School,147967,Skilled,Big City
100000522,Female,Not-Single,24,High School,116863,Skilled,mid-Sized City
100000523,Male,Single,53,High School,170622,Skilled,mid-Sized City
100000524,Female,Not-Single,23,High School,132426,Skilled,mid-Sized City
100000525,Female,Not-Single,26,High School,77519,unemployed/unskilled,Small City
100000526,Male,Single,30,Unknown/Other,169405,Skilled,Big City
100000527,Female,Not-Single,31,High School,120030,Skilled,Small City
100000528,Male,Single,42,High School,77933,unemployed/unskilled,Small City
100000529,Male,Not-Single,31,High School,109892,Skilled,mid-Sized City
100000530,Male,Single,41,High School,69062,unemployed/unskilled,Small City
100000531,Male,Single,32,Unknown/Other,116348,Skilled,Small City
100000532,Female,Not-Single,28,High School,137188,Skilled,mid-Sized City
100000533,Male,Not-Single,41,High School,110199,Skilled,Small City
100000534,Male,Not-Single,26,High School,109890,Skilled,mid-Sized City
100000535,Male,Single,25,Unknown/Other,109751,Skilled,Big City
100000536,Male,Not-Single,33,High School,129651,Skilled,mid-Sized City
100000537,Female,Not-Single,75,Post-Graduate,170113,Management/officer/self-employed,mid-Sized City
100000538,Female,Not-Single,37,High School,140285,Skilled,mid-Sized City
100000539,Male,Single,42,High School,198029,Management/officer/self-employed,Big City
100000540,Female,Not-Single,45,Graduate,120262,unemployed/unskilled,Small City
100000541,Male,Not-Single,23,High School,105137,Skilled,mid-Sized City
100000542,Male,Single,60,Graduate,127371,Skilled,Small City
100000543,Male,Single,31,Unknown/Other,145689,Skilled,Small City
100000544,Male,Single,34,High School,102617,unemployed/unskilled,mid-Sized City
100000545,Male,Single,61,Graduate,90709,unemployed/unskilled,Small City
100000546,Male,Single,43,High School,107099,Skilled,mid-Sized City
100000547,Female,Not-Single,37,High School,116021,Skilled,Big City
100000548,Male,Single,32,Unknown/Other,100426,Skilled,Big City
100000549,Female,Not-Single,24,High School,62249,unemployed/unskilled,Small City
100000550,Male,Single,35,High School,172957,Skilled,mid-Sized City
100000551,Female,Not-Single,23,High School,95003,Skilled,mid-Sized City
100000552,Male,Single,45,High School,109698,unemployed/unskilled,Small City
100000553,Male,Not-Single,34,High School,157376,Skilled,Small City
100000554,Male,Single,27,Unknown/Other,123191,Skilled,Big City
100000555,Female,Not-Single,67,Post-Graduate,171052,Management/officer/self-employed,Small City
100000556,Male,Single,22,Unknown/Other,99328,Skilled,Small City
100000557,Female,Not-Single,28,High School,133799,Skilled,Big City
100000558,Female,Not-Single,29,High School,138256,Skilled,Big City
100000559,Male,Single,27,Unknown/Other,115638,Skilled,Small City
100000560,Male,Single,31,Unknown/Other,82238,unemployed/unskilled,Small City
100000561,Male,Single,49,High School,127543,Skilled,mid-Sized City
100000562,Male,Single,24,Unknown/Other,63987,unemployed/unskilled,Small City
100000563,Female,Not-Single,29,High School,114784,Skilled,Small City
100000564,Male,Single,37,High School,217450,Skilled,mid-Sized City
100000565,Male,Single,37,High School,173751,Management/officer/self-employed,Big City
100000566,Female,Not-Single,23,High School,122850,Skilled,Small City
100000567,Male,Not-Single,36,High School,104953,Skilled,Small City
100000568,Male,Single,34,High School,152371,Skilled,mid-Sized City
100000569,Male,Single,41,High School,139905,Skilled,Small City
100000570,Female,Not-Single,31,High School,156700,Skilled,mid-Sized City
100000571,Female,Not-Single,23,High School,86488,unemployed/unskilled,Small City
100000572,Male,Single,38,High School,147472,Skilled,Small City
100000573,Female,Not-Single,26,High School,169991,Management/officer/self-employed,Small City
100000574,Female,Not-Single,22,High School,62381,unemployed/unskilled,Small City
100000575,Male,Single,27,Unknown/Other,70926,unemployed/unskilled,Small City
100000576,Female,Not-Single,24,High School,113004,Skilled,mid-Sized City
100000577,Female,Not-Single,27,High School,125760,Skilled,Small City
100000578,Female,Not-Single,33,High School,111918,Skilled,Big City
100000579,Male,Not-Single,27,High School,120674,Skilled,mid-Sized City
100000580,Male,Not-Single,27,High School,63597,unemployed/unskilled,Small City
100000581,Male,Single,30,Unknown/Other,103069,Skilled,mid-Sized City
100000582,Male,Single,49,High School,108079,unemployed/unskilled,Small City
100000583,Female,Not-Single,26,High School,101159,Skilled,mid-Sized City
100000584,Male,Single,33,High School,88211,unemployed/unskilled,Small City
100000585,Female,Not-Single,52,Graduate,159052,Management/officer/self-employed,mid-Sized City
100000586,Female,Not-Single,20,High School,102623,Skilled,Big City
100000587,Male,Single,36,High School,115589,Skilled,Small City
100000588,Male,Single,21,Unknown/Other,59127,unemployed/unskilled,Small City
100000589,Male,Not-Single,47,Graduate,82240,unemployed/unskilled,Small City
100000590,Male,Single,60,Graduate,129425,Skilled,mid-Sized City
100000591,Female,Not-Single,58,Graduate,87058,unemployed/unskilled,Small City
100000592,Female,Not-Single,42,Graduate,128462,Skilled,Big City
100000593,Female,Not-Single,36,High School,121403,unemployed/unskilled,Small City
100000594,Female,Not-Single,20,High School,88141,unemployed/unskilled,Small City
100000595,Male,Single,40,High School,134946,Management/officer/self-employed,Big City
100000596,Female,Not-Single,32,High School,94058,unemployed/unskilled,Small City
100000597,Female,Not-Single,23,High School,99285,Skilled,mid-Sized City
100000598,Male,Single,36,High School,108432,unemployed/unskilled,Small City
100000599,Male,Single,31,Unknown/Other,111369,Skilled,Small City
100000600,Male,Single,32,Unknown/Other,122612,Skilled,Big City
100000601,Female,Not-Single,45,Graduate,134350,Skilled,Small City
100000602,Female,Not-Single,30,High School,108838,Skilled,Big City
100000603,Female,Not-Single,34,High School,90852,unemployed/unskilled,Small City
100000604,Female,Not-Single,28,High School,151580,Management/officer/self-employed,Big City
100000605,Female,Not-Single,23,High School,115681,Skilled,mid-Sized City
100000606,Male,Single,22,Unknown/Other,131699,Skilled,mid-Sized City
100000607,Male,Single,74,Graduate,192481,Management/officer/self-employed,mid-Sized City
100000608,Female,Not-Single,50,Graduate,155122,Skilled,Big City
100000609,Male,Single,33,High School,106015,Skilled,Big City
100000610,Male,Single,45,High School,108378,Skilled,Small City
100000611,Female,Not-Single,22,High School,105257,Skilled,mid-Sized City
100000612,Female,Not-Single,48,Graduate,118788,unemployed/unskilled,Small City
100000613,Female,Not-Single,29,High School,162955,Skilled,Big City
100000614,Female,Not-Single,22,High School,119511,Skilled,Big City
100000615,Female,Not-Single,22,High School,102000,Skilled,Small City
100000616,Male,Single,48,High School,254449,Management/officer/self-employed,mid-Sized City
100000617,Male,Single,27,Unknown/Other,208446,Management/officer/self-employed,Big City
100000618,Male,Single,37,High School,124805,Skilled,Small City
100000619,Female,Not-Single,21,High School,139379,Skilled,Small City
100000620,Male,Not-Single,49,Graduate,78296,unemployed/unskilled,Small City
100000621,Male,Single,27,Unknown/Other,125598,Skilled,mid-Sized City
100000622,Male,Single,32,Unknown/Other,100215,Skilled,Big City
100000623,Male,Not-Single,38,High School,130951,Skilled,Big City
100000624,Female,Not-Single,22,High School,102480,Skilled,Big City
100000625,Male,Single,65,Graduate,136812,Skilled,mid-Sized City
100000626,Male,Single,35,High School,106919,Skilled,mid-Sized City
100000627,Male,Single,41,High School,131020,Skilled,Big City
100000628,Male,Single,29,Unknown/Other,119429,Skilled,mid-Sized City
100000629,Male,Single,36,High School,154521,Skilled,mid-Sized City
100000630,Male,Single,64,Graduate,117842,unemployed/unskilled,Small City
100000631,Female,Not-Single,28,High School,124566,Skilled,Big City
100000632,Male,Single,44,High School,110009,Skilled,Big City
100000633,Male,Single,23,Unknown/Other,101210,Skilled,mid-Sized City
100000634,Female,Not-Single,19,High School,101258,Skilled,Small City
100000635,Female,Not-Single,25,High School,79045,unemployed/unskilled,Small City
100000636,Male,Single,47,High School,110866,Skilled,Small City
100000637,Female,Not-Single,28,High School,129640,Skilled,Big City
100000638,Male,Single,21,Unknown/Other,227021,Skilled,mid-Sized City
100000639,Female,Not-Single,34,High School,108549,Skilled,mid-Sized City
100000640,Male,Single,26,Unknown/Other,122693,Skilled,Small City
100000641,Female,Not-Single,27,High School,35832,unemployed/unskilled,Small City
100000642,Male,Single,38,High School,81870,unemployed/unskilled,Small City
100000643,Male,Single,40,High School,179790,Management/officer/self-employed,Big City
100000644,Male,Not-Single,33,High School,107158,Skilled,mid-Sized City
100000645,Male,Not-Single,32,High School,136638,Management/officer/self-employed,mid-Sized City
100000646,Male,Single,27,Unknown/Other,158147,Skilled,Big City
100000647,Male,Not-Single,32,High School,132587,Skilled,Big City
100000648,Female,Not-Single,26,High School,128140,Skilled,Big City
100000649,Male,Single,38,High School,117405,Skilled,mid-Sized City
100000650,Male,Single,40,High School,68475,unemployed/unskilled,Small City
100000651,Male,Single,50,High School,201656,Management/officer/self-employed,Big City
100000652,Male,Single,37,High School,86967,unemployed/unskilled,Small City
100000653,Male,Single,45,High School,118006,Skilled,mid-Sized City
100000654,Male,Single,42,High School,223630,Management/officer/self-employed,Big City
100000655,Male,Single,35,High School,110442,Skilled,Small City
100000656,Male,Single,22,Unknown/Other,115691,Skilled,Big City
100000657,Male,Single,41,High School,80232,unemployed/unskilled,Small City
100000658,Male,Single,37,High School,187647,Skilled,mid-Sized City
100000659,Female,Not-Single,28,High School,138952,Skilled,mid-Sized City
100000660,Male,Single,41,High School,162772,Skilled,Big City
100000661,Male,Not-Single,23,High School,111862,Skilled,mid-Sized City
100000662,Male,Not-Single,23,High School,90051,Skilled,mid-Sized City
100000663,Male,Single,50,High School,121400,Skilled,mid-Sized City
100000664,Male,Single,35,High School,137000,Management/officer/self-employed,Big City
100000665,Female,Not-Single,50,Graduate,105031,unemployed/unskilled,Small City
100000666,Male,Single,27,Unknown/Other,172153,Management/officer/self-employed,Big City
100000667,Male,Single,34,High School,170184,Skilled,mid-Sized City
100000668,Female,Not-Single,27,High School,123279,Skilled,mid-Sized City
100000669,Male,Single,43,High School,140795,Skilled,Small City
100000670,Male,Single,47,High School,144456,Skilled,Small City
100000671,Male,Single,27,Unknown/Other,104773,unemployed/unskilled,Small City
100000672,Male,Single,31,Unknown/Other,153353,Skilled,mid-Sized City
100000673,Male,Single,42,High School,223018,Management/officer/self-employed,mid-Sized City
100000674,Male,Not-Single,24,High School,129177,Skilled,Big City
100000675,Male,Single,41,High School,114475,unemployed/unskilled,mid-Sized City
100000676,Female,Not-Single,26,High School,161323,Management/officer/self-employed,mid-Sized City
100000677,Male,Single,33,High School,135765,Skilled,Big City
100000678,Male,Not-Single,24,High School,158421,Skilled,Small City
100000679,Male,Single,64,Graduate,103941,unemployed/unskilled,Small City
100000680,Female,Not-Single,26,High School,101783,Skilled,Big City
100000681,Female,Not-Single,56,Graduate,126531,Skilled,mid-Sized City
100000682,Male,Single,37,High School,111394,Skilled,mid-Sized City
100000683,Male,Not-Single,33,High School,103577,Skilled,Big City
100000684,Male,Not-Single,47,Graduate,149545,Skilled,mid-Sized City
100000685,Male,Single,31,Unknown/Other,171857,unemployed/unskilled,Small City
100000686,Male,Single,34,High School,149782,Skilled,mid-Sized City
100000687,Male,Single,27,Unknown/Other,112470,Skilled,mid-Sized City
100000688,Male,Single,30,Unknown/Other,133907,Skilled,Big City
100000689,Male,Single,35,High School,127849,Skilled,mid-Sized City
100000690,Male,Single,31,Unknown/Other,160279,Skilled,Big City
100000691,Male,Not-Single,25,High School,92366,Skilled,Big City
100000692,Female,Not-Single,25,High School,104794,unemployed/unskilled,Small City
100000693,Male,Single,29,Unknown/Other,133436,Skilled,mid-Sized City
100000694,Male,Single,44,High School,110374,unemployed/unskilled,Small City
100000695,Male,Single,28,Unknown/Other,104263,Skilled,mid-Sized City
100000696,Male,Single,50,High School,138752,Skilled,Small City
100000697,Male,Single,29,Unknown/Other,102723,Skilled,Small City
100000698,Female,Not-Single,38,High School,46297,unemployed/unskilled,Small City
100000699,Male,Single,24,Unknown/Other,96425,Skilled,mid-Sized City
100000700,Male,Single,40,High School,158197,Management/officer/self-employed,mid-Sized City
100000701,Female,Not-Single,29,High School,98008,unemployed/unskilled,Small City
100000702,Male,Single,46,High School,157473,Skilled,Small City
100000703,Female,Not-Single,47,Graduate,149306,Skilled,Small City
100000704,Male,Single,41,High School,139236,Skilled,mid-Sized City
100000705,Female,Not-Single,32,High School,125890,Skilled,Big City
100000706,Female,Not-Single,35,High School,173124,Skilled,mid-Sized City
100000707,Male,Single,24,Unknown/Other,164621,Skilled,mid-Sized City
100000708,Female,Not-Single,25,High School,124539,Skilled,mid-Sized City
100000709,Female,Not-Single,25,High School,107614,Skilled,mid-Sized City
100000710,Male,Single,37,High School,88849,unemployed/unskilled,Small City
100000711,Male,Single,32,Unknown/Other,148566,Management/officer/self-employed,Big City
100000712,Female,Not-Single,35,High School,106515,Skilled,Big City
100000713,Male,Single,46,High School,150465,Management/officer/self-employed,mid-Sized City
100000714,Male,Single,25,Unknown/Other,60868,unemployed/unskilled,Small City
100000715,Male,Single,27,Unknown/Other,255198,Management/officer/self-employed,Big City
100000716,Male,Single,63,Graduate,183178,Skilled,mid-Sized City
100000717,Male,Single,40,High School,121448,Skilled,Big City
100000718,Male,Single,32,Unknown/Other,129975,Management/officer/self-employed,Big City
100000719,Male,Single,31,Unknown/Other,132950,Skilled,Big City
100000720,Male,Not-Single,31,High School,169314,Skilled,mid-Sized City
100000721,Male,Single,34,High School,147958,Management/officer/self-employed,mid-Sized City
100000722,Female,Not-Single,24,High School,139896,Skilled,Big City
100000723,Female,Not-Single,24,High School,68028,unemployed/unskilled,Small City
100000724,Female,Not-Single,66,Post-Graduate,133328,unemployed/unskilled,Small City
100000725,Female,Not-Single,21,High School,108518,Skilled,Big City
100000726,Female,Not-Single,41,Graduate,112700,unemployed/unskilled,Small City
100000727,Male,Not-Single,47,Graduate,110190,unemployed/unskilled,Small City
100000728,Female,Not-Single,25,High School,105104,Skilled,mid-Sized City
100000729,Female,Not-Single,59,Graduate,184753,Skilled,mid-Sized City
100000730,Male,Not-Single,36,High School,162521,Skilled,Big City
100000731,Male,Single,33,High School,156794,Skilled,mid-Sized City
100000732,Male,Single,21,Unknown/Other,65827,unemployed/unskilled,Small City
100000733,Female,Not-Single,44,Graduate,88490,unemployed/unskilled,Small City
100000734,Female,Not-Single,28,High School,154919,Skilled,Big City
100000735,Female,Not-Single,37,High School,129058,Skilled,Small City
100000736,Female,Not-Single,29,High School,77532,unemployed/unskilled,Small City
100000737,Female,Not-Single,23,High School,235417,Management/officer/self-employed,Big City
100000738,Male,Single,35,High School,113468,unemployed/unskilled,Small City
100000739,Male,Single,45,High School,190803,Management/officer/self-employed,Big City
100000740,Female,Not-Single,26,High School,121423,unemployed/unskilled,Small City
100000741,Male,Single,32,Unknown/Other,121347,Skilled,mid-Sized City
100000742,Male,Single,23,Unknown/Other,67408,unemployed/unskilled,Small City
100000743,Male,Single,41,High School,123043,Skilled,mid-Sized City
100000744,Male,Single,22,Unknown/Other,128387,Skilled,Big City
100000745,Male,Single,30,Unknown/Other,250050,Management/officer/self-employed,mid-Sized City
100000746,Male,Single,28,Unknown/Other,69588,unemployed/unskilled,Small City
100000747,Female,Not-Single,23,High School,109547,Skilled,mid-Sized City
100000748,Female,Not-Single,37,High School,78840,unemployed/unskilled,Small City
100000749,Male,Single,26,Unknown/Other,131122,Skilled,Small City
100000750,Male,Single,33,High School,115403,Skilled,mid-Sized City
100000751,Female,Not-Single,49,Graduate,110291,Skilled,Big City
100000752,Female,Not-Single,23,High School,64811,unemployed/unskilled,Small City
100000753,Female,Not-Single,23,High School,86015,unemployed/unskilled,Small City
100000754,Female,Not-Single,25,High School,142438,Skilled,Big City
100000755,Male,Single,55,High School,159303,Skilled,mid-Sized City
100000756,Female,Not-Single,32,High School,104957,Skilled,mid-Sized City
100000757,Male,Single,74,Graduate,89502,unemployed/unskilled,Small City
100000758,Male,Single,39,High School,121313,Skilled,mid-Sized City
100000759,Male,Single,31,Unknown/Other,98102,Skilled,Small City
100000760,Male,Single,35,High School,94554,Skilled,mid-Sized City
100000761,Female,Not-Single,59,Graduate,162591,Skilled,mid-Sized City
100000762,Female,Not-Single,24,High School,106629,Skilled,Big City
100000763,Male,Single,24,Unknown/Other,70400,unemployed/unskilled,Small City
100000764,Male,Single,30,Unknown/Other,235660,Management/officer/self-employed,Big City
100000765,Male,Not-Single,27,High School,121747,Skilled,Big City
100000766,Male,Not-Single,40,High School,85060,unemployed/unskilled,Small City
100000767,Male,Not-Single,31,High School,87630,unemployed/unskilled,Small City
100000768,Female,Not-Single,31,High School,119673,Skilled,Small City
100000769,Male,Single,28,Unknown/Other,126060,Skilled,Big City
100000770,Male,Single,63,Graduate,96145,unemployed/unskilled,Small City
100000771,Female,Not-Single,26,High School,114830,Skilled,Small City
100000772,Female,Not-Single,25,High School,194461,Management/officer/self-employed,Big City
100000773,Male,Single,36,High School,150158,Management/officer/self-employed,Big City
100000774,Male,Single,52,High School,136323,Skilled,Big City
100000775,Male,Single,66,Graduate,111858,unemployed/unskilled,Small City
100000776,Female,Not-Single,25,High School,100198,Skilled,Small City
100000777,Male,Single,37,High School,123452,Skilled,Big City
100000778,Female,Not-Single,25,High School,120723,Skilled,mid-Sized City
100000779,Male,Single,38,High School,215639,Management/officer/self-employed,mid-Sized City
100000780,Female,Not-Single,67,Post-Graduate,166712,Skilled,mid-Sized City
100000781,Male,Single,25,Unknown/Other,136300,Skilled,mid-Sized City
100000782,Male,Single,60,Graduate,166988,Skilled,Big City
100000783,Male,Single,31,Unknown/Other,77265,unemployed/unskilled,Small City
100000784,Female,Not-Single,23,High School,85967,unemployed/unskilled,Small City
100000785,Male,Not-Single,60,Graduate,212020,Management/officer/self-employed,Small City
100000786,Male,Single,35,High School,126054,unemployed/unskilled,Small City
100000787,Male,Single,40,High School,144589,Skilled,Small City
100000788,Male,Single,38,High School,116723,Skilled,mid-Sized City
100000789,Male,Single,50,High School,168637,Skilled,mid-Sized City
100000790,Male,Single,27,Unknown/Other,139119,Skilled,mid-Sized City
100000791,Female,Not-Single,39,Graduate,118610,Skilled,Big City
100000792,Male,Single,41,High School,183312,Management/officer/self-employed,Big City
100000793,Male,Not-Single,27,High School,96323,Skilled,Small City
100000794,Male,Not-Single,51,Graduate,149510,Skilled,Big City
100000795,Male,Single,32,Unknown/Other,141922,Skilled,Big City
100000796,Female,Not-Single,22,High School,120233,Skilled,Small City
100000797,Male,Single,51,High School,172790,Skilled,mid-Sized City
100000798,Female,Not-Single,22,High School,66720,unemployed/unskilled,Small City
100000799,Male,Not-Single,54,Graduate,113024,Skilled,mid-Sized City
100000800,Male,Single,35,High School,51791,unemployed/unskilled,Small City
100000801,Male,Single,54,High School,118408,Skilled,Big City
100000802,Female,Not-Single,48,Graduate,101616,unemployed/unskilled,Small City
100000803,Female,Not-Single,24,High School,127250,Skilled,Small City
100000804,Male,Single,35,High School,97290,Skilled,Small City
100000805,Female,Not-Single,24,High School,106970,unemployed/unskilled,Small City
100000806,Male,Single,24,Unknown/Other,168147,Skilled,Big City
100000807,Male,Not-Single,26,High School,68468,unemployed/unskilled,Small City
100000808,Male,Single,65,Graduate,120780,Skilled,Big City
100000809,Male,Single,55,High School,231992,Management/officer/self-employed,Big City
100000810,Female,Not-Single,26,High School,53903,unemployed/unskilled,Small City
100000811,Male,Not-Single,26,High School,101511,Skilled,Big City
100000812,Male,Not-Single,28,High School,69046,unemployed/unskilled,Small City
100000813,Male,Single,24,Unknown/Other,171584,Skilled,mid-Sized City
100000814,Male,Single,54,High School,132367,Skilled,Big City
100000815,Male,Single,46,High School,134433,Skilled,Big City
100000816,Female,Not-Single,54,Graduate,190518,Skilled,Small City
100000817,Male,Not-Single,62,Graduate,152367,Skilled,mid-Sized City
100000818,Female,Not-Single,24,High School,101157,Skilled,mid-Sized City
100000819,Male,Not-Single,43,Graduate,279593,Management/officer/self-employed,Big City
100000820,Male,Not-Single,26,High School,96716,Skilled,Big City
100000821,Male,Not-Single,27,High School,95171,Skilled,Small City
100000822,Male,Not-Single,24,High School,129162,Skilled,Big City
100000823,Male,Single,41,High School,118742,Skilled,Small City
100000824,Male,Single,47,High School,74511,unemployed/unskilled,Small City
100000825,Male,Not-Single,35,High School,157272,Management/officer/self-employed,mid-Sized City
100000826,Male,Not-Single,30,High School,102374,Skilled,Small City
100000827,Female,Not-Single,33,High School,131492,Skilled,Small City
100000828,Male,Single,36,High School,128702,Skilled,Big City
100000829,Male,Single,47,High School,177509,Skilled,Big City
100000830,Male,Single,38,High School,163451,Skilled,mid-Sized City
100000831,Male,Single,44,High School,144900,Skilled,mid-Sized City
100000832,Female,Not-Single,23,High School,97115,Skilled,Big City
100000833,Male,Single,29,Unknown/Other,196568,Skilled,Big City
100000834,Female,Not-Single,42,Graduate,158405,Skilled,Small City
100000835,Female,Not-Single,25,High School,97376,unemployed/unskilled,Small City
100000836,Male,Single,48,High School,108678,Skilled,mid-Sized City
100000837,Female,Not-Single,21,High School,92351,Skilled,Small City
100000838,Female,Not-Single,23,High School,61211,unemployed/unskilled,Small City
100000839,Male,Single,63,Graduate,138644,Skilled,Small City
100000840,Male,Not-Single,46,Graduate,124824,Skilled,Big City
100000841,Male,Single,29,Unknown/Other,132852,Skilled,Small City
100000842,Male,Single,28,Unknown/Other,81069,unemployed/unskilled,Small City
100000843,Female,Not-Single,23,High School,104094,Skilled,Big City
100000844,Male,Single,50,High School,114853,Skilled,Small City
100000845,Male,Single,47,High School,130344,Skilled,Big City
100000846,Male,Single,35,High School,135090,Skilled,Small City
100000847,Male,Single,68,Graduate,179151,Skilled,Big City
